test_patient,cohort,mode,horizon,model,rmse,mae,zone_a,epochs
596,2020,pooled,45min,TCN,37.20651626586914,30.320526123046875,53.6985294117647,15.0
596,2020,pooled,45min,Transformer,26.988449096679688,20.329862594604492,71.2720588235294,17.0
559,2018,per_patient_scaled,15min,RF,15.865190463691407,9.380733016496892,95.88412340105343,
559,2018,per_patient_scaled,15min,LSTM,15.750263214111328,9.359317779541016,95.77878103837472,34.0
559,2018,per_patient_scaled,15min,Autoencoder,15.850045204162598,9.588484764099121,95.60571858540256,39.0
559,2018,per_patient_scaled,15min,TCN,19.346866607666016,11.02082347869873,93.53649360421369,16.0
559,2018,per_patient_scaled,15min,Transformer,16.357141494750977,9.678840637207031,95.60571858540256,36.0
559,2018,per_patient_scaled,30min,RF,26.700278925782385,17.77088738721831,82.44544770504139,
559,2018,per_patient_scaled,30min,LSTM,25.984251022338867,16.90732765197754,84.49209932279909,34.0
559,2018,per_patient_scaled,30min,Autoencoder,25.797168731689453,17.071264266967773,84.30398796087283,39.0
559,2018,per_patient_scaled,30min,TCN,30.33339500427246,20.259132385253906,76.75696012039127,16.0
559,2018,per_patient_scaled,30min,Transformer,26.7163143157959,17.379650115966797,83.83747178329571,36.0
559,2018,per_patient_scaled,45min,RF,35.902595724165415,25.647198391402483,68.86380737396539,
559,2018,per_patient_scaled,45min,LSTM,34.393951416015625,23.69066047668457,74.18359668924003,34.0
559,2018,per_patient_scaled,45min,Autoencoder,34.14878463745117,23.8944034576416,73.16779533483822,39.0
559,2018,per_patient_scaled,45min,TCN,38.36859130859375,28.06658172607422,64.73288186606472,16.0
559,2018,per_patient_scaled,45min,Transformer,35.19791793823242,24.167404174804688,72.96463506395786,36.0
563,2018,per_patient_scaled,15min,RF,10.506385006355972,6.9295589364951695,97.96238244514106,
563,2018,per_patient_scaled,15min,LSTM,10.242789268493652,6.7514801025390625,98.01008586615784,33.0
563,2018,per_patient_scaled,15min,Autoencoder,10.378896713256836,6.892398834228516,98.12593703148426,52.0
563,2018,per_patient_scaled,15min,TCN,11.185699462890625,7.601261615753174,97.01512879923675,30.0
563,2018,per_patient_scaled,15min,Transformer,10.962586402893066,7.0048322677612305,97.94875289627913,57.0
563,2018,per_patient_scaled,30min,RF,17.64243561324627,12.626245512521422,90.11857707509881,
563,2018,per_patient_scaled,30min,LSTM,17.14192771911621,12.088897705078125,91.14760801417474,33.0
563,2018,per_patient_scaled,30min,Autoencoder,17.280792236328125,12.183579444885254,91.14079323974376,52.0
563,2018,per_patient_scaled,30min,TCN,19.077571868896484,13.968070983886719,86.53400572441052,30.0
563,2018,per_patient_scaled,30min,Transformer,17.82413101196289,12.370431900024414,90.60242605969742,57.0
563,2018,per_patient_scaled,45min,RF,23.96099745419963,17.681282298274677,80.06678478942347,
563,2018,per_patient_scaled,45min,LSTM,23.227216720581055,16.764068603515625,82.46558538912362,33.0
563,2018,per_patient_scaled,45min,Autoencoder,23.43646240234375,17.005760192871094,81.96810685566308,52.0
563,2018,per_patient_scaled,45min,TCN,25.579792022705078,19.281143188476562,75.88932806324111,30.0
563,2018,per_patient_scaled,45min,Transformer,23.942384719848633,17.137022018432617,81.52514651765027,57.0
570,2018,per_patient_scaled,15min,RF,11.266707852758554,7.504290494339821,96.73159699423653,
570,2018,per_patient_scaled,15min,LSTM,11.48323917388916,7.727058410644531,95.99474720945503,38.0
570,2018,per_patient_scaled,15min,Autoencoder,11.364057540893555,7.688198566436768,96.54920843364704,40.0
570,2018,per_patient_scaled,15min,TCN,13.612821578979492,8.330816268920898,94.98066681257751,13.0
570,2018,per_patient_scaled,15min,Transformer,11.286182403564453,7.597721099853516,96.72430145181295,63.0
570,2018,per_patient_scaled,30min,RF,19.590901240249895,13.762629772681846,89.57466987670533,
570,2018,per_patient_scaled,30min,LSTM,19.233448028564453,13.389638900756836,90.12913110089735,38.0
570,2018,per_patient_scaled,30min,Autoencoder,19.590349197387695,13.739886283874512,89.85919603122493,40.0
